"Modulo","Id/DevAddr","Pac/DevEUI","Nro Série","IEF","IEF 3 dias","IEF 7 dias","Qtd dias sem transmissao","Qtd dias consecutivos sem transmissao","Matrícula","Latitude","Longitude","Status"
"1443383196","5608479c","0080E11500546549","S22C002730II","0.763021","0.0","0.0","0","0","4000824683","-23.1654","-45.8368","2"
"3582412317","d587461d","0080E1150044F48A","S22C006922II","0.712674","0.0","0.0","1","1","4000824809","-23.165","-45.8361","1"
"199577123","0be54e23","0080E1150044EA08","S22C005608II","0.775521","0.0","0.0","0","0","4000824322","-23.166","-45.8366","2"
"1359037417","510143e9","0080E1150044E912","S22C005646II","0.753125","0.0","0.0","0","0","4000824766","-23.1648","-45.8364","2"
"776555046","2e494a26","0080e115004fac00","S22C009236LA","0.0","0.0","0.0","30","30","4000824442","-23.1658","-45.8362","0"
"82529091","04eb4b43","0080E1150044E74F","S22C007028II","0.758333","0.0","0.0","0","0","4000824810","-23.1649","-45.8359","2"
"1699692933","654f4185","0080E1150044EF20","S22C006917II","0.705382","0.0","0.0","1","1","4000824767","-23.1649","-45.8362","1"
"1858093351","6ec04127","0080e1150044f01e","S22C005894DA","0.722569","0.0","0.0","1","1","4000824564","-23.1656","-45.8368","1"
"2252426092","86414b6c","0080e115050497c8","S22C004374LA","0.0","0.0","0.0","30","30","4000824604","-23.1653","-45.8366","0"
"3009433141","b3604e35","0080e11500547044","S22C009664DA","0.761458","0.0","0.0","0","0","4000824284","-23.1664","-45.8364","2"
"3508750043","d12346db","0080E1150044EF98","S22C006971II","0.68316","0.0","0.0","2","2","4000824891","-23.1675919","-45.8342716","1"
"2221098855","84634767","0080e1150511e1a0","S22C009673DA","0.765104","0.0","0.0","0","0","4000824486","-23.1658","-45.8368","2"
"3360771096","c8514c18","0080E11500258370","S22C006989II","0.775","0.0","0.0","0","0","4000824365","-23.1658","-45.8362","2"
"3065923561","b6be47e9","0080e1150025a237","S22C006254DA","0.713715","0.0","0.0","1","1","4000824813","-23.1648","-45.8362","1"
"44254624","02a345a0","0080E1150044EBE8","S22C005772II","0.777604","0.0","0.0","0","0","4000824687","-23.165","-45.8367","2"
"2618117330","9c0d4cd2","0080E115005404E2","S22C007119II","0.783333","0.0","0.0","0","0","4000824446","-23.1658","-45.8362","2"
"3988930805","edc240f5","0080e1150044eeff","S22C006685DA","0.747396","0.0","0.0","0","0","4000824893","-23.1656","-45.8357","2"
"1739407518","67ad409e","0080e1150504c8b1","S22C005660LA","0.0","0.0","0.0","30","30","4000824447","-23.1656","-45.8362","0"
"3675606214","db154cc6","0080E11500546DEE","S22C005829II","0.772396","0.0","0.0","0","0","4000824648","-23.1675919","-45.8342716","2"
"2541047081","97754d29","0080E1150054723D","S22C003624II","0.775521","0.0","0.0","0","0","4000824568","-23.1675919","-45.8342716","2"
"2297777007","88f54b6f","0080E11500546501","S22C003525II","0.757812","0.0","0.0","0","0","4000824729","-23.1653","-45.8372","2"
"3466938707","cea54953","0080E1150044ECAD","S22C003314II","0.768229","0.0","0.0","0","0","4000824649","-23.1655","-45.8369","2"
"1330007528","4f464de8","0080e1150044df37","S22C006109DA","0.767187","0.0","0.0","0","0","4000824448","-23.1658","-45.8362","2"
"0","","","","0.0","0.0","0.0","30","30","4000824408","-23.166","-45.8366","0"
"301746635","11fc49cb","0080E11500546618","S22C004680II","0.772917","0.0","0.0","0","0","4000824689","-23.1649","-45.8366","2"
