"Modulo","Id/DevAddr","Pac/DevEUI","Nro Série","IEF","IEF 3 dias","IEF 7 dias","Qtd dias sem transmissao","Qtd dias consecutivos sem transmissao","Matrícula","Latitude","Longitude","Status"
"923813172","37104534","0080e1150025a5c7","S22C005551DA","1.0","0.0","0.0","0","0","4000683448","-23.603990499999998","-46.519100899999998","2"
"1996572318","7701469e","0080e1150040deb4","S22C003968DA","1.0","0.0","0.0","1","1","4000683461","-23.603881999999999","-46.519058100000002","1"
"1447118893","5641482d","0080e1150040e0c0","S22C004853DA","1.0","0.0","0.0","0","0","4000683544","-23.603881999999999","-46.519058100000002","3"
"1623605967","60c642cf","0080e1150040deb1","S22C005348DA","1.0","0.0","0.0","1","1","4000683393","-23.603990499999998","-46.519100899999998","1"
"872827875","34064be3","0080e11500546f49","S22C005560DA","1.0","0.0","0.0","1","1","4000683856","-23.603990499999998","-46.519100899999998","1"
"3720955291","ddc9459b","0080e1150040c591","S22C003780DA","1.0","0.0","0.0","1","1","4000683478","-23.603881999999999","-46.519058100000002","1"
"2400733909","8f184ad5","0080e115000d67c7","S22C004160DA","1.0","0.0","0.0","0","0","4000683472","-23.603881999999999","-46.519058100000002","3"
"2297121106","88eb4952","0080e1150021767b","S22C004492DA","1.0","0.0","0.0","1","1","4000683527","-23.603881999999999","-46.519058100000002","1"
"4093068435","f3f74493","0080e115000d7237","S22C004842DA","1.0","0.0","0.0","0","0","4000683901","-23.603990499999998","-46.519100899999998","3"
"897270339","357b4243","0080e115000d700b","S22C004064DA","0.0","0.0","0.0","30","30","4000683767","-23.603881999999999","-46.519058100000002","0"
"1234978474","499c46aa","0080e1150055bf89","S22C004686DA","1.0","0.0","0.0","0","0","4000683352","-23.603990499999998","-46.519100899999998","3"
"2180595761","81f94031","0080e1150021826a","S22C005489DA","1.0","0.0","0.0","0","0","4000683439","-23.603990499999998","-46.519100899999998","3"
"1720664885","668f4335","0080e11505054eea","S22C004409DA","0.996007","0.0","0.0","1","1","4000683865","-23.603990499999998","-46.519100899999998","1"
"2531937013","96ea4af5","0080e1150055c0a4","S22C005016DA","0.0","0.0","0.0","30","30","4000683830","-23.603881999999999","-46.519058100000002","0"
"1096043273","41544b09","0080e11500256361","S22C005015DA","1.0","0.0","0.0","1","1","4000683552","-23.603881999999999","-46.519058100000002","1"
"2059223623","7abd4247","0080e115050906e5","S22C004233DA","1.0","0.0","0.0","0","0","4000683496","-23.603881999999999","-46.519058100000002","3"
"2361740293","8cc54c05","0080e115000d62b7","S22C004868DA","1.0","0.0","0.0","1","1","4000683469","-23.603881999999999","-46.519058100000002","1"
"2376420516","8da54ca4","0080e1150509138a","S22C004370DA","1.0","0.0","0.0","0","0","4000683892","-23.603990499999998","-46.519100899999998","3"
"2865055423","aac546bf","0080e11505096a43","S22C004137DA","0.0","0.0","0.0","30","30","4000683823","-23.603881999999999","-46.519058100000002","0"
"1906329897","71a04929","0080e1150509896d","S22C005606DA","1.0","0.0","0.0","0","0","4000683374","-23.603990499999998","-46.519100899999998","3"
"1979010442","75f54d8a","0080e11500219211","S22C003736DA","1.0","0.0","0.0","0","0","4000683518","-23.603881999999999","-46.519058100000002","3"
"2680573883","9fc64fbb","0080e1150040c58a","S22C004243DA","1.0","0.0","0.0","0","0","4000683504","-23.603881999999999","-46.519058100000002","3"
"1457933289","56e64be9","0080e1150040db0a","S22C004899DA","1.0","0.0","0.0","1","1","4000683742","-23.603881999999999","-46.519058100000002","1"
"2654684072","9e3b43a8","0080e11500543e5f","S22C005562DA","1.0","0.0","0.0","0","0","4000683874","-23.603990499999998","-46.519100899999998","3"
"715344599","2aa34ad7","0080e1150040d2c0","S22C004587DA","1.0","0.0","0.0","1","1","4000683883","-23.603990499999998","-46.519100899999998","1"
"232015679","0dd4473f","0080e1150021837a","S22C005584DA","0.832986","0.0","0.0","1","1","4000683407","-23.603990499999998","-46.519100899999998","1"
"1762017692","6906419c","0080e11500216829","S22C005130DA","1.0","0.0","0.0","1","1","4000683543","-23.603881999999999","-46.519058100000002","1"
"3899344442","e86b463a","0080e11500545d0e","S22C005460DA","1.0","0.0","0.0","0","0","4000683383","-23.603990499999998","-46.519100899999998","3"
